instance_id,base_commit,file,line,start_line,end_line,n_lines,current_statement,extracted_statement,reason
scikit-learn__scikit-learn-14629,4aded39b5663d943f6a4809abacfa9cae3d7fb6a,sklearn/multioutput.py,167,167,170,4,self.estimators_ = Parallel(n_jobs=self.n_jobs)(,"self.estimators_ = Parallel(n_jobs=self.n_jobs)(
    delayed(_fit_estimator)(
        self.estimator, X, y[:, i], sample_weight)
    for i in range(y.shape[1]))","sub-statement pointer, balloons x3.00"
scikit-learn__scikit-learn-25973,10dbc142bd17ccf7bd38eec2ac04b52ce0d1009e,sklearn/feature_selection/_sequential.py,312,308,315,8,"cv=self.cv,","scores[feature_idx] = cross_val_score(
    estimator,
    X_new,
    y,
    cv=self.cv,
    scoring=self.scoring,
    n_jobs=self.n_jobs,
).mean()","sub-statement pointer, balloons x11.09"
scikit-learn__scikit-learn-9288,3eacf948e0f95ef957862568d87ce082f378e186,sklearn/cluster/k_means_.py,372,368,372,5,random_state=random_state),"labels, inertia, centers, n_iter_ = kmeans_single(
    X, sample_weight, n_clusters, max_iter=max_iter, init=init,
    verbose=verbose, precompute_distances=precompute_distances,
    tol=tol, x_squared_norms=x_squared_norms,
    random_state=random_state)","sub-statement pointer, balloons x9.19"
sphinx-doc__sphinx-8551,57ed10c68057c96491acbd3e62254ccfaf9e3861,sphinx/util/docfields.py,293,293,298,6,xrefs = typed_field.make_xrefs(,"xrefs = typed_field.make_xrefs(
    typed_field.typerolename,
    self.directive.domain,
    target,
    contnode=content[0],
)","sub-statement pointer, balloons x3.58"
sphinx-doc__sphinx-9320,e05cef574b8f23ab1b57f57e7da6dee509a4e230,sphinx/cmd/quickstart.py,226,225,226,2,"'', is_path)","d['path'] = do_prompt(__('Please enter a new root path (or just Enter to exit)'),
                      '', is_path)","sub-statement pointer, balloons x7.83"
sympy__sympy-16597,6fd65310fa3167b9626c38a5487e171ca407d988,sympy/core/assumptions.py,166,163,201,39,"'rational       ->  real',","_assume_rules = FactRules([

    'integer        ->  rational',
    'rational       ->  real',
    'rational       ->  algebraic',
    'algebraic      ->  complex',
    'real           ->  complex',
    'real           ->  hermitian',
    'imaginary      ->  complex',
    'imaginary      ->  antihermitian',
    'complex        ->  commutative',

    'odd            ==  integer & !even',
    'even           ==  integer & !odd',

    'real           ==  negative | zero | positive',
    'transcendental ==  complex & !algebraic',

    'negative       ==  nonpositive & nonzero',
    'positive       ==  nonnegative & nonzero',
    'zero           ==  nonnegative & nonpositive',

    'nonpositive    ==  real & !positive',
    'nonnegative    ==  real & !negative',

    'zero           ->  even & finite',

    'prime          ->  integer & positive',
    'composite      ->  integer & positive & !prime',
    '!composite     ->  !positive | !even | prime',

    'irrational     ==  real & !rational',

    'imaginary      ->  !real',

    'infinite       ->  !finite',
    'noninteger     ==  real & !integer',
    'nonzero        ==  real & !zero',
])","sub-statement pointer, balloons x44.05"
sympy__sympy-16597,6fd65310fa3167b9626c38a5487e171ca407d988,sympy/core/assumptions.py,168,163,201,39,"'algebraic      ->  complex',","_assume_rules = FactRules([

    'integer        ->  rational',
    'rational       ->  real',
    'rational       ->  algebraic',
    'algebraic      ->  complex',
    'real           ->  complex',
    'real           ->  hermitian',
    'imaginary      ->  complex',
    'imaginary      ->  antihermitian',
    'complex        ->  commutative',

    'odd            ==  integer & !even',
    'even           ==  integer & !odd',

    'real           ==  negative | zero | positive',
    'transcendental ==  complex & !algebraic',

    'negative       ==  nonpositive & nonzero',
    'positive       ==  nonnegative & nonzero',
    'zero           ==  nonnegative & nonpositive',

    'nonpositive    ==  real & !positive',
    'nonnegative    ==  real & !negative',

    'zero           ->  even & finite',

    'prime          ->  integer & positive',
    'composite      ->  integer & positive & !prime',
    '!composite     ->  !positive | !even | prime',

    'irrational     ==  real & !rational',

    'imaginary      ->  !real',

    'infinite       ->  !finite',
    'noninteger     ==  real & !integer',
    'nonzero        ==  real & !zero',
])","sub-statement pointer, balloons x36.39"
sympy__sympy-16597,6fd65310fa3167b9626c38a5487e171ca407d988,sympy/core/assumptions.py,179,163,201,39,"'transcendental ==  complex & !algebraic',","_assume_rules = FactRules([

    'integer        ->  rational',
    'rational       ->  real',
    'rational       ->  algebraic',
    'algebraic      ->  complex',
    'real           ->  complex',
    'real           ->  hermitian',
    'imaginary      ->  complex',
    'imaginary      ->  antihermitian',
    'complex        ->  commutative',

    'odd            ==  integer & !even',
    'even           ==  integer & !odd',

    'real           ==  negative | zero | positive',
    'transcendental ==  complex & !algebraic',

    'negative       ==  nonpositive & nonzero',
    'positive       ==  nonnegative & nonzero',
    'zero           ==  nonnegative & nonpositive',

    'nonpositive    ==  real & !positive',
    'nonnegative    ==  real & !negative',

    'zero           ->  even & finite',

    'prime          ->  integer & positive',
    'composite      ->  integer & positive & !prime',
    '!composite     ->  !positive | !even | prime',

    'irrational     ==  real & !rational',

    'imaginary      ->  !real',

    'infinite       ->  !finite',
    'noninteger     ==  real & !integer',
    'nonzero        ==  real & !zero',
])","sub-statement pointer, balloons x20.41"
sympy__sympy-16597,6fd65310fa3167b9626c38a5487e171ca407d988,sympy/core/assumptions.py,194,163,201,39,"'irrational     ==  real & !rational',","_assume_rules = FactRules([

    'integer        ->  rational',
    'rational       ->  real',
    'rational       ->  algebraic',
    'algebraic      ->  complex',
    'real           ->  complex',
    'real           ->  hermitian',
    'imaginary      ->  complex',
    'imaginary      ->  antihermitian',
    'complex        ->  commutative',

    'odd            ==  integer & !even',
    'even           ==  integer & !odd',

    'real           ==  negative | zero | positive',
    'transcendental ==  complex & !algebraic',

    'negative       ==  nonpositive & nonzero',
    'positive       ==  nonnegative & nonzero',
    'zero           ==  nonnegative & nonpositive',

    'nonpositive    ==  real & !positive',
    'nonnegative    ==  real & !negative',

    'zero           ->  even & finite',

    'prime          ->  integer & positive',
    'composite      ->  integer & positive & !prime',
    '!composite     ->  !positive | !even | prime',

    'irrational     ==  real & !rational',

    'imaginary      ->  !real',

    'infinite       ->  !finite',
    'noninteger     ==  real & !integer',
    'nonzero        ==  real & !zero',
])","sub-statement pointer, balloons x25.36"
sympy__sympy-20438,33b47e4bd60e2302e42616141e76285038b724d6,sympy/core/relational.py,569,569,570,2,"m, b = linear_coeffs(","m, b = linear_coeffs(
    e.rewrite(Add, evaluate=False), x)","sub-statement pointer, balloons x2.67"
sympy__sympy-21930,de446c6d85f633271dfec1452f6f28ea783e293f,sympy/physics/secondquant.py,221,221,225,5,"return ""%s^{%s}_{%s}"" % (","return ""%s^{%s}_{%s}"" % (
    self.symbol,
    """".join([ i.name for i in self.args[1]]),
    """".join([ i.name for i in self.args[2]])
)","sub-statement pointer, balloons x4.92"
