model,run,instance,rationale,class
minimax-m3,run3,django__django-12155,consistent,understood_wrong_line
minimax-m3,run2,django__django-12406,consistent,understood_wrong_line
claude-opus,run1,django__django-13121,consistent,understood_wrong_line
claude-opus,run2,django__django-13121,none,unjudged
claude-opus,run3,django__django-13121,none,unjudged
minimax-m3,run1,django__django-13121,none,unjudged
gemini-3.1-flash-lite,run1,django__django-13158,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,django__django-13158,consistent,understood_wrong_line
gemini-3.1-flash-lite,run3,django__django-13158,consistent,understood_wrong_line
gpt-5-3-codex,run1,django__django-13158,consistent,understood_wrong_line
minimax-m3,run1,django__django-13158,consistent,understood_wrong_line
minimax-m3,run3,django__django-13158,consistent,understood_wrong_line
claude-opus,run3,django__django-13297,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,django__django-13297,consistent,understood_wrong_line
gemini-3.1-flash-lite,run3,django__django-13297,consistent,understood_wrong_line
minimax-m3,run1,django__django-13297,consistent,understood_wrong_line
minimax-m3,run2,django__django-13297,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,django__django-13343,consistent,understood_wrong_line
gemini-3.1-flash-lite,run3,django__django-13343,consistent,understood_wrong_line
minimax-m3,run2,django__django-13344,consistent,understood_wrong_line
claude-opus,run1,django__django-13346,consistent,understood_wrong_line
claude-opus,run2,django__django-13346,consistent,understood_wrong_line
claude-opus,run3,django__django-13346,consistent,understood_wrong_line
gpt-5-3-codex,run1,django__django-13346,consistent,understood_wrong_line
gpt-5-3-codex,run2,django__django-13346,consistent,understood_wrong_line
gpt-5-3-codex,run3,django__django-13346,consistent,understood_wrong_line
minimax-m3,run1,django__django-13346,consistent,understood_wrong_line
minimax-m3,run2,django__django-13346,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,django__django-13449,consistent,understood_wrong_line
minimax-m3,run1,django__django-13449,consistent,understood_wrong_line
minimax-m3,run2,django__django-13449,consistent,understood_wrong_line
minimax-m3,run3,django__django-13449,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,django__django-13810,consistent,understood_wrong_line
claude-opus,run1,django__django-14011,consistent,understood_wrong_line
minimax-m3,run2,django__django-14053,consistent,understood_wrong_line
claude-opus,run2,django__django-14170,consistent,understood_wrong_line
claude-opus,run1,django__django-14349,consistent,understood_wrong_line
claude-opus,run2,django__django-14349,consistent,understood_wrong_line
claude-opus,run3,django__django-14349,consistent,understood_wrong_line
gpt-5-3-codex,run1,django__django-14349,consistent,understood_wrong_line
gpt-5-3-codex,run2,django__django-14349,consistent,understood_wrong_line
minimax-m3,run1,django__django-14349,consistent,understood_wrong_line
minimax-m3,run2,django__django-14349,consistent,understood_wrong_line
minimax-m3,run3,django__django-14349,consistent,understood_wrong_line
claude-opus,run1,django__django-14434,consistent,understood_wrong_line
claude-opus,run2,django__django-14434,consistent,understood_wrong_line
claude-opus,run3,django__django-14434,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,django__django-14434,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,django__django-14434,consistent,understood_wrong_line
gemini-3.1-flash-lite,run3,django__django-14434,consistent,understood_wrong_line
gpt-5-3-codex,run1,django__django-14434,consistent,understood_wrong_line
gpt-5-3-codex,run2,django__django-14434,consistent,understood_wrong_line
gpt-5-3-codex,run3,django__django-14434,consistent,understood_wrong_line
minimax-m3,run1,django__django-14434,consistent,understood_wrong_line
minimax-m3,run2,django__django-14434,consistent,understood_wrong_line
minimax-m3,run3,django__django-14434,consistent,understood_wrong_line
claude-opus,run1,django__django-15128,consistent,understood_wrong_line
claude-opus,run2,django__django-15128,consistent,understood_wrong_line
claude-opus,run3,django__django-15128,consistent,understood_wrong_line
minimax-m3,run1,django__django-15128,consistent,understood_wrong_line
minimax-m3,run3,django__django-15128,consistent,understood_wrong_line
minimax-m3,run1,django__django-15554,consistent,understood_wrong_line
minimax-m3,run3,django__django-15554,consistent,understood_wrong_line
claude-opus,run2,django__django-16145,none,unjudged
claude-opus,run3,django__django-16145,none,unjudged
gemini-3.1-flash-lite,run1,django__django-16145,consistent,understood_wrong_line
gpt-5-3-codex,run2,django__django-16145,consistent,understood_wrong_line
gpt-5-3-codex,run3,django__django-16145,consistent,understood_wrong_line
minimax-m3,run1,django__django-16145,consistent,understood_wrong_line
minimax-m3,run2,django__django-16145,consistent,understood_wrong_line
minimax-m3,run3,django__django-16145,none,unjudged
claude-opus,run2,django__django-16315,consistent,understood_wrong_line
claude-opus,run2,django__django-16454,consistent,understood_wrong_line
gpt-5-3-codex,run1,django__django-16454,consistent,understood_wrong_line
gpt-5-3-codex,run3,django__django-16454,consistent,understood_wrong_line
claude-opus,run3,django__django-16631,consistent,understood_wrong_line
gpt-5-3-codex,run2,django__django-16631,consistent,understood_wrong_line
gpt-5-3-codex,run3,django__django-16631,consistent,understood_wrong_line
minimax-m3,run3,django__django-16631,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,django__django-16901,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,django__django-16901,consistent,understood_wrong_line
gemini-3.1-flash-lite,run3,django__django-16901,consistent,understood_wrong_line
gpt-5-3-codex,run2,django__django-16901,consistent,understood_wrong_line
minimax-m3,run2,django__django-17084,consistent,understood_wrong_line
minimax-m3,run3,django__django-17084,consistent,understood_wrong_line
gpt-5-3-codex,run2,matplotlib__matplotlib-20859,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,matplotlib__matplotlib-22719,consistent,understood_wrong_line
gemini-3.1-flash-lite,run3,matplotlib__matplotlib-22719,consistent,understood_wrong_line
gpt-5-3-codex,run3,matplotlib__matplotlib-22719,consistent,understood_wrong_line
minimax-m3,run2,matplotlib__matplotlib-22719,consistent,understood_wrong_line
gpt-5-3-codex,run3,matplotlib__matplotlib-24026,consistent,understood_wrong_line
claude-opus,run1,matplotlib__matplotlib-24637,consistent,understood_wrong_line
claude-opus,run2,matplotlib__matplotlib-24637,consistent,understood_wrong_line
claude-opus,run3,matplotlib__matplotlib-24637,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,matplotlib__matplotlib-24637,consistent,understood_wrong_line
gpt-5-3-codex,run1,matplotlib__matplotlib-24637,consistent,understood_wrong_line
gpt-5-3-codex,run2,matplotlib__matplotlib-24637,consistent,understood_wrong_line
gpt-5-3-codex,run3,matplotlib__matplotlib-24637,consistent,understood_wrong_line
minimax-m3,run1,matplotlib__matplotlib-24637,consistent,understood_wrong_line
minimax-m3,run2,matplotlib__matplotlib-24637,consistent,understood_wrong_line
minimax-m3,run3,matplotlib__matplotlib-24637,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,pydata__xarray-3095,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,pydata__xarray-3095,consistent,understood_wrong_line
gemini-3.1-flash-lite,run3,pydata__xarray-3095,consistent,understood_wrong_line
gpt-5-3-codex,run1,pydata__xarray-3095,consistent,understood_wrong_line
minimax-m3,run2,pydata__xarray-6599,none,unjudged
minimax-m3,run1,pytest-dev__pytest-10051,consistent,understood_wrong_line
minimax-m3,run3,pytest-dev__pytest-10051,consistent,understood_wrong_line
claude-opus,run2,pytest-dev__pytest-5787,consistent,understood_wrong_line
claude-opus,run3,pytest-dev__pytest-5787,consistent,understood_wrong_line
minimax-m3,run1,pytest-dev__pytest-6197,consistent,understood_wrong_line
minimax-m3,run1,pytest-dev__pytest-7236,consistent,understood_wrong_line
minimax-m3,run2,pytest-dev__pytest-7236,consistent,understood_wrong_line
claude-opus,run1,pytest-dev__pytest-7490,consistent,understood_wrong_line
claude-opus,run2,pytest-dev__pytest-7490,consistent,understood_wrong_line
claude-opus,run3,pytest-dev__pytest-7490,consistent,understood_wrong_line
gpt-5-3-codex,run3,pytest-dev__pytest-7490,consistent,understood_wrong_line
minimax-m3,run1,pytest-dev__pytest-7490,consistent,understood_wrong_line
minimax-m3,run2,pytest-dev__pytest-7490,consistent,understood_wrong_line
minimax-m3,run3,pytest-dev__pytest-7490,consistent,understood_wrong_line
claude-opus,run1,pytest-dev__pytest-7571,consistent,understood_wrong_line
claude-opus,run2,pytest-dev__pytest-7571,consistent,understood_wrong_line
claude-opus,run3,pytest-dev__pytest-7571,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,pytest-dev__pytest-7571,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,pytest-dev__pytest-7571,consistent,understood_wrong_line
gpt-5-3-codex,run1,pytest-dev__pytest-7571,consistent,understood_wrong_line
minimax-m3,run1,pytest-dev__pytest-7571,consistent,understood_wrong_line
minimax-m3,run2,pytest-dev__pytest-7571,consistent,understood_wrong_line
gpt-5-3-codex,run1,pytest-dev__pytest-8399,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,scikit-learn__scikit-learn-10297,consistent,understood_wrong_line
gpt-5-3-codex,run3,scikit-learn__scikit-learn-12973,consistent,understood_wrong_line
minimax-m3,run1,scikit-learn__scikit-learn-12973,consistent,understood_wrong_line
claude-opus,run1,scikit-learn__scikit-learn-13124,none,unjudged
gpt-5-3-codex,run1,scikit-learn__scikit-learn-13142,consistent,understood_wrong_line
gpt-5-3-codex,run2,scikit-learn__scikit-learn-13142,consistent,understood_wrong_line
gpt-5-3-codex,run3,scikit-learn__scikit-learn-13142,consistent,understood_wrong_line
claude-opus,run1,scikit-learn__scikit-learn-14629,consistent,understood_wrong_line
claude-opus,run2,scikit-learn__scikit-learn-14629,consistent,understood_wrong_line
claude-opus,run3,scikit-learn__scikit-learn-14629,consistent,understood_wrong_line
minimax-m3,run1,scikit-learn__scikit-learn-14629,consistent,understood_wrong_line
minimax-m3,run3,scikit-learn__scikit-learn-14629,consistent,understood_wrong_line
claude-opus,run3,scikit-learn__scikit-learn-14983,consistent,understood_wrong_line
minimax-m3,run2,scikit-learn__scikit-learn-14983,consistent,understood_wrong_line
minimax-m3,run3,scikit-learn__scikit-learn-14983,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,scikit-learn__scikit-learn-25931,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,scikit-learn__scikit-learn-25931,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,scikit-learn__scikit-learn-25973,consistent,understood_wrong_line
gpt-5-3-codex,run3,scikit-learn__scikit-learn-9288,consistent,understood_wrong_line
minimax-m3,run1,sphinx-doc__sphinx-10449,consistent,understood_wrong_line
claude-opus,run1,sphinx-doc__sphinx-11510,consistent,understood_wrong_line
gpt-5-3-codex,run2,sphinx-doc__sphinx-8120,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,sphinx-doc__sphinx-8475,consistent,understood_wrong_line
gpt-5-3-codex,run1,sphinx-doc__sphinx-8475,consistent,understood_wrong_line
claude-opus,run1,sphinx-doc__sphinx-8551,consistent,understood_wrong_line
claude-opus,run2,sphinx-doc__sphinx-8551,consistent,understood_wrong_line
claude-opus,run3,sphinx-doc__sphinx-8551,none,unjudged
gemini-3.1-flash-lite,run1,sphinx-doc__sphinx-8551,none,unjudged
minimax-m3,run3,sphinx-doc__sphinx-8551,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,sphinx-doc__sphinx-9320,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,sphinx-doc__sphinx-9320,consistent,understood_wrong_line
gemini-3.1-flash-lite,run3,sphinx-doc__sphinx-9320,consistent,understood_wrong_line
minimax-m3,run3,sphinx-doc__sphinx-9602,none,unjudged
gpt-5-3-codex,run1,sympy__sympy-13031,consistent,understood_wrong_line
gpt-5-3-codex,run2,sympy__sympy-13031,consistent,understood_wrong_line
gpt-5-3-codex,run3,sympy__sympy-13031,consistent,understood_wrong_line
gpt-5-3-codex,run1,sympy__sympy-13877,consistent,understood_wrong_line
minimax-m3,run1,sympy__sympy-13877,none,unjudged
minimax-m3,run2,sympy__sympy-13877,consistent,understood_wrong_line
claude-opus,run1,sympy__sympy-15345,consistent,understood_wrong_line
claude-opus,run2,sympy__sympy-15345,consistent,understood_wrong_line
claude-opus,run3,sympy__sympy-15345,consistent,understood_wrong_line
gemini-3.1-flash-lite,run1,sympy__sympy-15345,consistent,understood_wrong_line
gemini-3.1-flash-lite,run3,sympy__sympy-15345,consistent,understood_wrong_line
gpt-5-3-codex,run2,sympy__sympy-15345,consistent,understood_wrong_line
minimax-m3,run1,sympy__sympy-15345,consistent,understood_wrong_line
claude-opus,run1,sympy__sympy-15976,consistent,understood_wrong_line
claude-opus,run2,sympy__sympy-15976,consistent,understood_wrong_line
claude-opus,run3,sympy__sympy-15976,consistent,understood_wrong_line
gpt-5-3-codex,run1,sympy__sympy-15976,consistent,understood_wrong_line
minimax-m3,run2,sympy__sympy-17318,consistent,understood_wrong_line
claude-opus,run1,sympy__sympy-19783,consistent,understood_wrong_line
claude-opus,run3,sympy__sympy-19783,consistent,understood_wrong_line
gemini-3.1-flash-lite,run2,sympy__sympy-21379,consistent,understood_wrong_line
